item,claim,truth,abs_diff,tolerance,unit,status
Data2 published MAE,2.35,2.3530068825343227,0.0030068825343225747,0.05,bpm,OK
Data2 published RMSE,3.31,3.308730262380624,0.001269737619375988,0.05,bpm,OK
Data2 published Accuracy,96.7,96.71901965920262,0.019019659202612615,0.15,%,OK
Data2 coverage,71.1,71.14014251781472,0.04014251781472922,0.2,%,OK
Data2 best n,842.0,842.0,0.0,0.0,sec,OK
Data2 published n,599.0,599.0,0.0,0.0,sec,OK
g103 MAE,2.4,2.3993630997464006,0.000636900253599304,0.05,bpm,OK
g103 RMSE,3.42,3.4190702057457187,0.000929794254281191,0.05,bpm,OK
g103 MAPE,3.35,3.347888356322427,0.002111643677573216,0.15,%,OK
g103 coverage,83.7,83.70044052863436,0.00044052863435695144,0.2,%,OK
g102 MAE,2.27,2.272571437143502,0.0025714371435019423,0.05,bpm,OK
g102 RMSE,3.11,3.1079910749241226,0.0020089250758772437,0.05,bpm,OK
g102 MAPE,3.17,3.1648842407995894,0.005115759200410519,0.15,%,OK
g102 coverage,56.4,56.44329896907217,0.04329896907216835,0.2,%,OK
Improved files count,9.0,9.0,0.0,0.0,count,OK
Compared files count,11.0,11.0,0.0,0.0,count,OK
Data1 total seconds,3302.0,3302.0,0.0,0.0,sec,OK
Data1 fc0.88 MAE,3.04,3.036,0.0040000000000000036,0.05,bpm,OK
Data1 fc0.88 Accuracy,95.6,95.595,0.0049999999999954525,0.15,%,OK
Data1 fc0.88 coverage,70.0,69.9,0.09999999999999432,0.2,%,OK
Data1 fc0.88 n,2818.0,2818.0,0.0,0.0,sec,OK
Data1 fc0.94 MAE,2.57,2.57,0.0,0.05,bpm,OK
Data1 fc0.94 Accuracy,96.3,96.265,0.03499999999999659,0.15,%,OK
Consistency scope best n,842.0,842.0,0.0,0.0,sec,OK
Consistency scope pub n,599.0,599.0,0.0,0.0,sec,OK
Consistency scope best MAE,3.768006519377627,3.768006519377627,0.0,1e-06,bpm,OK
Consistency scope pub MAE,2.3530068825343227,2.3530068825343227,0.0,1e-06,bpm,OK
Consistency scope best RMSE,5.682337089424863,5.682337089424863,0.0,1e-06,bpm,OK
Consistency scope pub RMSE,3.308730262380624,3.3087302623806245,4.440892098500626e-16,1e-06,bpm,OK
Consistency scope best MAPE,5.287528800056412,5.287528800056412,0.0,1e-06,%,OK
Consistency scope pub MAPE,3.2809803407973828,3.2809803407973828,0.0,1e-06,%,OK
Consistency all best n,1211.0,1211.0,0.0,0.0,sec,OK
Consistency all pub n,673.0,673.0,0.0,0.0,sec,OK
Consistency all best MAE,7.798893991874127,7.798893991874127,0.0,1e-06,bpm,OK
Consistency all pub MAE,3.0484199038998168,3.0484199038998168,0.0,1e-06,bpm,OK
Consistency all best RMSE,12.209281495920255,12.209281495920255,0.0,1e-06,bpm,OK
Consistency all pub RMSE,4.597311608456949,4.597311608456949,0.0,1e-06,bpm,OK
Consistency all best MAPE,10.842135567100133,10.842135567100133,0.0,1e-06,%,OK
Consistency all pub MAPE,4.214816032984896,4.214816032984895,8.881784197001252e-16,1e-06,%,OK
